key,話数,サブタイトル,脚本,絵コンテ,ストーリーボード,演出,アニメーション演出,作画監修,放送日(TXN)
episode/dmf_21,21,羽ばたきの心、シンフォニアの目覚め,坪田文,ワタナベシンイチ,Choi Hun Cheol,小林浩輔,Choi Hun Cheol,戸田さやか,2012-08-25
episode/dmf_22,22,ビッグラブでハートをシャッフル,赤尾でこ,ワタナベシンイチ,Sung Won Yong,大野和寿,Park Chi Man,伊藤良太,2012-09-01
episode/dmf_23,23,銀幕セレブリティーストーリー,坪田文,誌村宏明,Song Geun Sik,小林浩輔,Ahn Jai Ho,斉藤里枝,2012-09-08
episode/dmf_24,24,お宝ゲットだ!チャムの大冒険!,伊福部崇,青葉譲,Park Chi Man,徳本善信,Jeon Byung Cheol,戸田さやか,2012-09-15
episode/dmf_25,25,元気が一番!プリズム・クッキング,井内秀治,井内秀治,Choi Hun Cheol,小林浩輔,Na Ki Chual,伊藤良太,2012-09-22
episode/dmf_26,26,白と黒のウェディング,赤尾でこ,青葉譲,Song Geun Sik,小林浩輔,Jeon Byung Cheol,斉藤里枝,2012-09-29
episode/dmf_27,27,新チームでシャル ウィ ダンス?,伊福部崇,松尾慎,Song Geun Sik,徳本善信,Ahn Jai Ho,戸田さやか,2012-10-06
episode/dmf_28,28,りずむの告白 愛の言葉は……,井内秀治,井内秀治,Park Chi Man,小林浩輔,Choi Hun Cheol,,2012-10-13
episode/dmf_29,29,女神（ミューズ）にささぐ I LOVE YOU,坪田文,青葉譲,Choi Hun Cheol,徳本善信,Park Chi Man,斉藤里枝,2012-10-20
episode/dmf_30,30,ハロウィンコーデはラブミックスコンチェルト,赤尾でこ,ワタナベシンイチ,Sung Won Yong,小林浩輔,Jeon Byung Cheol,戸田さやか,2012-10-27
episode/dmf_31,31,Cheer! Yeah! ×2 夢を咲かせちゃえ!,福田裕子,榎本守,Song Geun Sik,榎本守,Ahn Jai Ho,伊藤良太,2012-11-03
episode/dmf_32,32,風よ吹け!プリズムのハートに,井内秀治,井内秀治,Park Chi Man,小林浩輔,Bak I Nam,斉藤里枝,2012-11-10
episode/dmf_33,33,恋のパクパクレストラン,有賀ひかる,ワタナベシンイチ,Choi Hun Cheol,大野和寿,Na Ki Chual,戸田さやか,2012-11-17
episode/dmf_34,34,踊れダンスティーチャー,福田裕子,ワタナベシンイチ,Sung Won Yong,小林浩輔,Jeon Byung Cheol,伊藤良太,2012-11-24
episode/dmf_35,35,ソミンのときめきハートブレイク,坪田文,青葉譲,Song Geun Sik,徳本善信,Ahn Jai Ho,斉藤里枝,2012-12-01
episode/dmf_36,36,乙女の競演 ロードトゥシンフォニア,伊福部崇,徳本善信,Park Chi Man,徳本善信,Choi Hun Cheol,戸田さやか,2012-12-08
episode/dmf_37,37,あいらの決断,赤尾でこ,ワタナベシンイチ,Choi Hun Cheol,小林浩輔,Ahn Jai Ho,伊藤良太,2012-12-15
episode/dmf_38,38,夢と神秘のメタモルフォーゼ,赤尾でこ,ワタナベシンイチ,Sung Won Yong,小林浩輔,Jeon Byung Cheol,斉藤里枝,2012-12-22
episode/dmf_39,39,沈黙のプリンセス,伊福部崇,ワタナベシンイチ,Song Geun Sik,徳本善信,Ahn Jai Ho,戸田さやか,2013-01-05
episode/dmf_40,40,シンフォニア誕生の秘密,井内秀治,井内秀治,Park Chi Man,小林浩輔,Na Ki Chual,伊藤良太,2013-01-12
episode/dmf_41,41,友情のプリティーリメイク,福田裕子,大原実,Choi Hun Cheol,小林浩輔,Ahn Jai Ho,斉藤里枝,2013-01-19
episode/dmf_42,42,宇宙の果てへ Go!スカイハイ,赤尾でこ,ワタナベシンイチ,Sung Won Yong,徳本善信,Jeon Byung Cheol,戸田さやか,2013-01-26
episode/dmf_43,43,立ち上がれスタァ!,坪田文,松尾慎,Song Geun Sik,小林浩輔,Choi Hun Cheol,伊藤良太,2013-02-02
episode/dmf_44,44,情熱レボリューション,伊福部崇,ワタナベシンイチ,Park Chi Man,大野和寿,Ahn Jai Ho,斉藤里枝,2013-02-09
episode/dmf_45,45,星空のプレリュード,福田裕子,ワタナベシンイチ,Choi Hun Cheol,小林浩輔,Jeon Byung Cheol,戸田さやか,2013-02-16
episode/dmf_46,46,センター争奪!ライバルは友達?,井内秀治,近藤信宏,Sung Won Yong,徳本善信,Park Chi Man,伊藤良太,2013-02-23
episode/dmf_47,47,ワガママみあ 前代未聞のドタキャン騒動,坪田文,誌村宏明,Song Geun Sik,小林浩輔,Na Ki Chual,斉藤里枝,2013-03-02
episode/dmf_48,48,開演!グレイトフルシンフォニア,坪田文,ワタナベシンイチ,Park Chi Man,徳本善信,Ahn Jai Ho,戸田さやか,2013-03-09
episode/dmf_49,49,失われる明日,坪田文,ワタナベシンイチ,Choi Hun Cheol,小林浩輔,Jeon Byung Cheol,伊藤良太,2013-03-16
episode/dmf_50,50,未来の私がいっちばーん!,坪田文,ワタナベシンイチ,Sung Won Yong,小林浩輔,Han Young Hoon,斉藤里枝,2013-03-23
episode/dmf_51,51,Dear マイフューチャー,坪田文,ワタナベシンイチ,Song Geun Sik,小林浩輔,Choi Hun Cheol,戸田さやか,2013-03-30
