key,話数,サブタイトル,脚本,絵コンテ,ストーリーボード,演出,アニメーション演出,作画監修,放送日(TXN)
episode/rl_30,30,誓いのクロスロード,井内秀治,沖田宮奈,Choi Hun Cheol,小林浩輔,Park Chi Man,戸田さやか、森友宏樹,2013-10-26
episode/rl_31,31,目指すは勇者!フリーダム!!,本田雅也、青葉譲,日歩冠星,Choi Hun Cheol,佐々木純人,Na Ki Chual,松浦麻衣、森友宏樹,2013-11-02
episode/rl_32,32,愛に羽ばたく女神（ジュネ）,井内秀治,日歩冠星,Choi Hun Cheol,小林浩輔,Na Ki Chual,伊藤良太、森友宏樹,2013-11-09
episode/rl_33,33,トライアングル・デートにゃ♡,村上桃子,柊陽菜,Sung Won Yong,野木森達哉,Jeon Byung Cheol,戸田さやか、森友宏樹,2013-11-16
episode/rl_34,34,ハピなるなら手をつなごう!,坪田文,柊陽菜,Sung Won Yong,小林浩輔,Jeon Byung Cheol,松浦麻衣、森友宏樹,2013-11-23
episode/rl_35,35,シャッフルデュオでダメだこりゃ!,本田雅也、坪田文,鈴木輪流郎,Choi Hun Cheol,佐々木純人,Na Ki Chual,伊藤良太、森友宏樹,2013-11-30
episode/rl_36,36,お泊り会でふたりはめちゃウマ!?,村上桃子,柊陽菜,Choi Hun Cheol,小林浩輔,Na Ki Chual,戸田さやか、森友宏樹,2013-12-07
episode/rl_37,37,哀しみのラッキースター,井内秀治,沖田宮奈,Song Geun Sik,綿田慎也,Han Young Hoon,松浦麻衣、森友宏樹,2013-12-14
episode/rl_38,38,聖夜にハッピーベルがなる,坪田文,川口敬一郎,Song Geun Sik,小林浩輔,Han Young Hoon,伊藤良太、森友宏樹,2013-12-21
episode/rl_39,39,湯けむり!虹色カッパ伝説,井内秀治,日歩冠星,Choi Hun Cheol,大野和寿,Na Ki Chual,戸田さやか、森友宏樹,2013-12-28
episode/rl_40,40,W告白?好きです先輩!,村上桃子,柊陽菜,Sung Won Yong,小林浩輔,Kim Jin Gu,斉藤里枝、森友宏樹,2014-01-11
episode/rl_41,41,星がつなぐ絆,井内秀治、坪田文,柊陽菜,Sung Won Yong,佐々木純人,Jeon Byung Cheol,伊藤良太、森友宏樹,2014-01-18
episode/rl_42,42,なるピンチ!消えたラブリン,坪田文,沖田宮奈,Song Geun Sik,小林浩輔,Han Young Hoon,松浦麻衣、森友宏樹,2014-01-25
episode/rl_43,43,天使の決意,坪田文,日歩冠星,Choi Hun Cheol,小林浩輔,Choi Hun Cheol,戸田さやか、森友宏樹,2014-02-01
episode/rl_44,44,虹の救世主は君ジャ!,坪田文,日歩冠星,Sung Won Yong,野木森達哉,Kim Jin Gu,伊藤良太、森友宏樹,2014-02-08
episode/rl_45,45,薔薇の革命,坪田文,日歩冠星,Sung Won Yong,小林浩輔,Jeon Byung Cheol,松浦麻衣、森友宏樹,2014-02-15
episode/rl_46,46,開幕!オーバー・ザ・レインボーセッション,村上桃子、井内秀治,柊陽菜,Sung Won Yong,佐々木純人,Jeon Byung Cheol,戸田さやか、森友宏樹,2014-02-22
episode/rl_47,47,愛に輝く幸せの星（ラッキースター）,井内秀治,川口敬一郎,Sung Won Yong,小林浩輔,Kim Jin Gu,伊藤良太、森友宏樹,2014-03-01
episode/rl_48,48,私らしく、人間らしく,坪田文,柊陽菜,Sung Won Yong,大野和寿,Kim Jin Gu,松浦麻衣、森友宏樹,2014-03-08
episode/rl_49,49,命燃え尽きるまで…,井内秀治,日歩冠星,Sung Won Yong,小林浩輔,Jeon Byung Cheol,戸田さやか、森友宏樹,2014-03-15
episode/rl_50,50,煌めきはあなたのそばに,井内秀治,日歩冠星,Sung Won Yong,小林浩輔,Kim Jin Gu,伊藤良太、森友宏樹,2014-03-22
episode/rl_51,51,GIFT,坪田文,柊陽菜,Sung Won Yong,青葉譲,Jeon Byung Cheol,松浦麻衣、伊藤良太、戸田さやか、斉藤里枝、森友宏樹,2014-03-29
