key,話数,サブタイトル,脚本,絵コンテ,ストーリーボード,演出,アニメーション演出,プリパラライブ演出,作画監修,放送日(TXN)
episode/ipp_24,24,勝負っす！シオン先輩！,加藤還一,柊陽菜,Park Chi Man、Nam Sung Min,黒瀬大輔,Park Chi Man,安藤尚也,斉藤里枝、川島尚,2017-09-12
episode/ipp_25,25,ユメユメ！タイムスリップ,田辺茂範,森脇真琴,Nam Sung Min、An Jai Ho,小林浩輔,Nam Sung Min,安藤尚也、江副仁美,斉藤里枝、川島尚,2017-09-19
episode/ipp_26,26,がんばれみちる！！,ふでやすかずゆき,大久保政雄,Choi Hun Cheol、Na Ki Chual,江島泰男,Na Ki Chual,安藤尚也、江副仁美,斉藤里枝、川島尚,2017-09-26
episode/ipp_27,27,華園しゅうかでございます,金杉弘子,葛谷直行,Jeon Byung Cheol、Nam Sung Min,江副仁美,Jeon Byung Cheol,安藤尚也、江副仁美,斉藤里枝、川島尚,2017-10-03
episode/ipp_28,28,いっちばーんがやってきた！,大場小ゆり,小林浩輔,Park Chi Man、Nam Sung Min,小林浩輔,Park Chi Man,安藤尚也、江副仁美,斉藤里枝、川島尚、戸田さやか,2017-10-10
episode/ipp_29,29,グランプリ大決戦！,加藤還一,渡辺健一郎,Nam Sung Min、An Jai Ho,渡辺健一郎,Nam Sung Min,安藤尚也、江副仁美,斉藤里枝、川島尚,2017-10-17
episode/ipp_30,30,ガァララとパックが夢パックン！,土屋理敬,藤澤俊幸,Choi Hun Cheol、Na Ki Chual,黒瀬大輔,Na Ki Chual,安藤尚也,斉藤里枝、川島尚、戸田さやか、伊藤浩、宮川知子、原将治,2017-10-24
episode/ipp_31,31,復活！ファララ・ア・ラーム,田辺茂範,柊陽菜,Jeon Byung Cheol、Nam Sung Min,小林浩輔,Jeon Byung Cheol,安藤尚也、江副仁美、乙部善弘,斉藤里枝、川島尚,2017-10-31
episode/ipp_32,32,WITHとプリ×プリフェスティバル！,加藤還一,江島泰男,Park Chi Man、Nam Sung Min,江島泰男,Park Chi Man,安藤尚也、江副仁美、小林浩輔、乙部善弘,斉藤里枝、川島尚、戸田さやか,2017-11-07
episode/ipp_33,33,ガァララ塔のひみつっす,ふでやすかずゆき,葛谷直行,Nam Sung Min、An Jai Ho,黒瀬大輔,Nam Sung Min,安藤尚也,斉藤里枝、川島尚,2017-11-14
episode/ipp_34,34,ガァララの森,大場小ゆり,誌村宏明,Choi Hun Cheol、Na Ki Chual,野木森達哉,Na Ki Chual,安藤尚也、江副仁美,斉藤里枝、川島尚,2017-11-21
episode/ipp_35,35,未知とのミーチル,田辺茂範,山本三輪子金崎貴臣,Jeon Byung Cheol、Nam Sung Min,江島泰男,Jeon Byung Cheol,安藤尚也、江副仁美,斉藤里枝、川島尚、戸田さやか,2017-11-28
episode/ipp_36,36,ユメ目合宿大ピンチ！,金杉弘子,藤澤俊幸,Park Chi Man、Nam Sung Min,黒瀬大輔,Park Chi Man,安藤尚也、佐藤まさふみ,斉藤里枝、川島尚,2017-12-05
episode/ipp_37,37,ホップ・ステップ・グランプリ！,加藤還一,小林浩輔,Nam Sung Min、An Jai Ho,小林浩輔,Nam Sung Min,安藤尚也、江副仁美、佐藤まさふみ,斉藤里枝、川島尚、戸田さやか,2017-12-12
episode/ipp_38,38,ユメリー・メガネマス★,ふでやすかずゆき,柊陽菜,Choi Hun Cheol、Na Ki Chual,黒瀬大輔,Na Ki Chual,安藤尚也、佐藤まさふみ,斉藤里枝、川島尚,2017-12-19
episode/ipp_39,39,年末！ババ大そうじでっすわ！,田辺茂範,大久保政雄,Jeon Byung Cheol、Nam Sung Min,安藤良,Jeon Byung Cheol,安藤尚也、江副仁美、小林浩輔,斉藤里枝、川島尚、戸田さやか,2017-12-26
episode/ipp_40,40,パラ宿プルトラクイズ！,金杉弘子,渡辺健一郎,Park Chi Man、Nam Sung Min,渡辺健一郎,Park Chi Man,安藤尚也、佐藤まさふみ、江副仁美,斉藤里枝、川島尚,2018-01-09
episode/ipp_41,41,しゅうかとガァララ,大場小ゆり,山本三輪子金崎貴臣,Nam Sung Min、An Jai Ho,黒瀬大輔,Nam Sung Min,安藤尚也、江副仁美,斉藤里枝、川島尚、戸田さやか,2018-01-16
episode/ipp_42,42,ディア・マイ・トモダチ！,加藤還一,藤澤俊幸,Choi Hun Cheol、Na Ki Chual,小林浩輔,Na Ki Chual,安藤尚也,斉藤里枝、川島尚、児玉和子,2018-01-23
episode/ipp_43,43,燃えよにの,ふでやすかずゆき,柊陽菜,Jeon Byung Cheol、Nam Sung Min,黒瀬大輔,Jeon Byung Cheol,安藤尚也,-,2018-01-30
episode/ipp_44,44,みちるさまとお呼びなさい,田辺茂範,誌村宏明,Park Chi Man、Nam Sung Min,室谷靖,Park Chi Man,安藤尚也、江副仁美,斉藤里枝、川島尚、原将治,2018-02-06
episode/ipp_45,45,決戦！ゆいvsしゅうか,大場小ゆり,藤澤俊幸,Nam Sung Min、An Jai Ho,江副仁美,Nam Sung Min,安藤尚也、江副仁美,斉藤里枝、川島尚,2018-02-13
episode/ipp_46,46,時をこえてマイドリーム！,福田裕子,柊陽菜,Choi Hun Cheol、Na Ki Chual,黒瀬大輔,Na Ki Chual,安藤尚也、佐藤まさふみ,斉藤里枝、川島尚、原将治,2018-02-20
episode/ipp_47,47,パックでパニック！大暴れ！,金杉弘子,山本三輪子金崎貴臣,Jeon Byung Cheol、Nam Sung Min,小林浩輔,Jeon Byung Cheol,安藤尚也,斉藤里枝、川島尚、原将治、戸田さやか,2018-02-27
episode/ipp_48,48,らぁらに届け、カムバックライブ！,加藤還一,誌村宏明,Park Chi Man、Nam Sung Min,安藤良,Park Chi Man,安藤尚也、江副仁美,斉藤里枝、川島尚、原将治,2018-03-06
episode/ipp_49,49,誕生しちゃうぜ！神アイドル!?,ふでやすかずゆき,佐藤まさふみ森脇真琴,Nam Sung Min、An Jai Ho,佐藤まさふみ,Nam Sung Min,安藤尚也、佐藤まさふみ,斉藤里枝、川島尚、原将治,2018-03-13
episode/ipp_50,50,夢のツバサで飛べマイドリーム！,土屋理敬,森脇真琴,Choi Hun Cheol、Na Ki Chual,森脇真琴,Na Ki Chual,安藤尚也,斉藤里枝、川島尚、原将治、戸田さやか、柚山麻美、宮川知子,2018-03-20
episode/ipp_51,51,み～んなあつまれ！アイドル始める時間だよ！,福田裕子,渡辺健一郎,Jeon Byung Cheol、Nam Sung Min,渡辺健一郎,Jeon Byung Cheol,安藤尚也,斉藤里枝、川島尚、原将治,2018-03-27
