key,話数,サブタイトル,脚本,絵コンテ,ストーリーボード,演出,アニメーション演出,作画監修,放送日(TXN)
episode/pripara_11,11,どうする？どうなる!?3人目!!!,大場小ゆり,沖田宮奈,Park Chi Man,安藤良、京極尚彦,Park Chi Man、Kim Jin Gu,斉藤里枝、本多恵美、森友宏樹,2014/9/13
episode/pripara_12,12,はばたけ、そふぃ！,福田裕子,坂田純一,An Jai Ho,小林浩輔,An Jai Ho、Choi Hun Cheol、Na Ki Chual,鈴木理彩、戸田さやか、森友宏樹,2014/9/20
episode/pripara_13,13,空見て笑って♡チーム名発表！,中村能子,桜井弘明,Choi Hun Cheol,徳本善信,Choi Hun Cheol、Na Ki Chual,斉藤里枝、本多恵美、森友宏樹,2014/9/27
episode/pripara_14,14,ライバル登場！イゴ、よろしく!!,ふでやすかずゆき,ワタナベシンイチ,Sung Won Yong,小林浩輔,Jeon Byung Cheol,鈴木理彩、戸田さやか、森友宏樹,2014/10/4
episode/pripara_15,15,一触即発？シオンVSみれぃっぷりっ！,大場小ゆり,山本三輪子,Park Chi Man,川村ひろし,Park Chi Man、Kim Jin Gu,斉藤里枝、本多恵美、森友宏樹、松浦麻衣,2014/10/11
episode/pripara_16,16,特ダネ！らぁらのヒミツばれちゃった!?,福田裕子,川口敬一郎,An Jai Ho,小林浩輔,An Jai Ho、Nam Sung Min,鈴木理彩、松浦麻衣、森友宏樹,2014/10/18
episode/pripara_17,17,恐怖のハロウィン！ジャック・OH!蘭たん!?,ふでやすかずゆき,ワタナベシンイチ,Na Ki Chual,佐々木純人,Choi Hun Cheol、Na Ki Chual,斉藤里枝、本多恵美、森友宏樹,2014/10/25
episode/pripara_18,18,レオナ、全力ダッシュなの！,中村能子,柊陽菜,Sung Won Yong,小林浩輔,Jeon Byung Cheol,鈴木理彩、松浦麻衣、森友宏樹,2014/11/1
episode/pripara_19,19,みれぃとクマ、運命の出会いぷりクマ！,大場小ゆり,坂田純一,Park Chi Man,安藤良,Park Chi Man、Kim Jin Gu,斉藤里枝、本多恵美、森友宏樹,2014/11/8
episode/pripara_20,20,パスタVS忍者！,土屋理敬,山本三輪子,An Jai Ho,小林浩輔,An Jai Ho、Nam Sung Min,鈴木理彩、松浦麻衣、斉藤里枝、本多恵美、原将治、森友宏樹,2014/11/15
episode/pripara_21,21,解散!?そふぃ様親衛隊,福田裕子,沖田宮奈,Choi Hun Cheol,徳本善信,Choi Hun Cheol、Na Ki Chual,斉藤里枝、本多恵美、森友宏樹,2014/11/22
episode/pripara_22,22,学園祭でライブクマ〜！,ふでやすかずゆき,ワタナベシンイチ,Sung Won Yong,小林浩輔,Jeon Byung Cheol,鈴木理彩、五十内裕輔、森友宏樹,2014/11/29
episode/pripara_23,23,プリパラ最後の日でっすわ！,中村能子,川口敬一郎,Park Chi Man,徳本善信,Park Chi Man、Kim Jin Gu,斉藤里枝、本多恵美、森友宏樹,2014/12/6
episode/pripara_24,24,さよなら、プリパラ,大場小ゆり,柊陽菜,An Jai Ho,小林浩輔,An Jai Ho、Nam Sung Min,鈴木理彩、原将治、森友宏樹,2014/12/13
episode/pripara_25,25,クリスマスプレゼントフォーユー！,土屋理敬,坂田純一,Na Ki Chual,川村ひろし,Choi Hun Cheol、Na Ki Chual,斉藤里枝、本多恵美、森友宏樹,2014/12/20
episode/pripara_26,26,いよいよあの子がデビューでちゅ,福田裕子,山本三輪子,Sung Won Yong,小林浩輔,Jeon Byung Cheol、Nam Sung Min,鈴木理彩、森友宏樹,2014/12/27
episode/pripara_27,27,あけおめでかしこま！,ふでやすかずゆき,ワタナベシンイチ,Park Chi Man,安藤良,Park Chi Man、Kim Jin Gu,斉藤里枝、本多恵美、森友宏樹,2015/1/10
episode/pripara_28,28,プリパラ囲碁パンダでございます,中村能子,麦野アイス,Nam Sung Min,小林浩輔,An Jai Ho、Nam Sung Min,鈴木理彩、森友宏樹,2015/1/17
episode/pripara_29,29,EZ DO グロササイズ,福田裕子,政木伸一,Choi Hun Cheol,徳本善信,Choi Hun Cheol、Na Ki Chual,斉藤里枝、本多恵美、森友宏樹,2015/1/24
episode/pripara_30,30,ドキドキ！パラダイスコーデは誰のもの!?,土屋理敬,金崎貴臣,Nam Sung Min,小林浩輔,Jeon Byung Cheol、Nam Sung Min,鈴木理彩、森友宏樹,2015/1/31
episode/pripara_31,31,スマイル！そらみ♡スマイル,大場小ゆり,山本三輪子,Park Chi Man,川村ひろし,Park Chi Man、Kim Jin Gu,斉藤里枝、本多恵美、森友宏樹,2015/2/7
episode/pripara_32,32,みれぃ、ぷりやめるってよ,ふでやすかずゆき,ワタナベシンイチ,An Jai Ho,小林浩輔,An Jai Ho、Nam Sung Min,鈴木理彩、森友宏樹,2015/2/14
episode/pripara_33,33,らぁらのこと、おしえて,土屋理敬,森脇真琴,Jeon Byung Cheol,徳本善信,Jeon Byung Cheol、Nam Sung Min,五十内裕輔,2015/2/21
episode/pripara_34,34,ファルルのトモダチ,中村能子,誌村宏明,Na Ki Chual,小林浩輔,Choi Hun Cheol、Na Ki Chual,斉藤里枝、本多恵美、森友宏樹,2015/2/28
episode/pripara_35,35,最後のステージバトル！,福田裕子,ワタナベシンイチ,Jeon Byung Cheol,佐々木純人,Jeon Byung Cheol、Nam Sung Min,鈴木理彩、森友宏樹,2015/3/7
episode/pripara_36,36,ファルル、目覚めるでちゅーっ!!,ふでやすかずゆき,大久保政雄,Kim Jin Gu,小林浩輔,Park Chi Man、Kim Jin Gu,斉藤里枝、本多恵美、森友宏樹,2015/3/14
episode/pripara_37,37,奇跡よ起これ！ミラクルライブ,大場小ゆり,森脇真琴,Park Chi Man,徳本善信,Nam Sung Min、An Jai Ho、Park Chi Man,鈴木理彩、森友宏樹,2015/3/21
episode/pripara_38,38,み〜んなトモダチ、かしこま！,中村能子,山本三輪子,Choi Hun Cheol,小林浩輔,Choi Hun Cheol、Na Ki Chual,斉藤里枝、本多恵美、森友宏樹,2015/3/28
episode/pripara_39,39,またまたアイドル始めちゃいました!?,土屋理敬,政木伸一,Nam Sung Min,川村ひろし,Jeon Byung Cheol、Nam Sung Min,鈴木理彩、森友宏樹,2015/4/4
episode/pripara_40,40,天使と悪魔ねこぉ〜ん,ふでやすかずゆき,森脇真琴,Park Chi Man,小林浩輔,Park Chi Man、Kim Jin Gu,斉藤里枝、本多恵美、森友宏樹,2015/4/11
episode/pripara_41,41,のろわれたソロライブぷり！,福田裕子,ワタナベシンイチ,Park Chi Man,佐々木純人,Park Chi Man、Kim Jin Gu,戸田さやか、鈴木理彩、前田綾、原将治、森友宏樹,2015/4/18
episode/pripara_42,42,プラジルから来た男,大場小ゆり,麦野アイス,Park Chi Man,小林浩輔,Park Chi Man、Kim Jin Gu,斉藤里枝、本多恵美、森友宏樹,2015/4/26
episode/pripara_43,43,ドリームシアター一番乗り！クマ！,中村能子,森脇真琴,Jeon Byung Cheol,橋口洋介,Park Chi Man、Nam Sung Min,戸田さやか、原将治、鈴木理彩、諏訪壮大,2015/5/2
episode/pripara_44,44,イゴ、さらばウサ！？,土屋理敬,菱田正和,Jeon Byung Cheol,菱田正和、今中菜々,Park Chi Man、Nam Sung Min,斉藤里枝、本多恵美,2015/5/9
episode/pripara_45,45,となりのクラスの悪魔なの,ふでやすかずゆき,ワタナベシンイチ,Jeon Byung Cheol,小林浩輔,Park Chi Man、Nam Sung Min,戸田さやか、本多恵美、諏訪壮大、鈴木理彩,2015/5/16
episode/pripara_46,46,でび＆えん保育園！ケロ？,中村能子,政木伸一,Na Ki Chual,川村ひろし,Choi Hun Cheol、Na Ki Chual,斉藤里枝、川島尚、前田綾、鈴木理彩,2015/5/23
episode/pripara_47,47,あろまにはナイショなの♪,福田裕子,森脇真琴,Jeon Byung Cheol,小林浩輔,Park Chi Man、Nam Sung Min,戸田さやか、本多恵美、斉藤里枝,2015/5/30
episode/pripara_48,48,6月6日、絶交アイドル,大場小ゆり,佐藤まさふみ,Jeon Byung Cheol,橋口洋介,Park Chi Man、Nam Sung Min,戸田さやか、本多恵美、斉藤里枝,2015/6/6
episode/pripara_49,49,いもうとよ,ふでやすかずゆき,ワタナベシンイチ,An Jai Ho,小林浩輔,Nam Sung Min、An Jai Ho,本多恵美、戸田さやか,2015/6/13
episode/pripara_50,50,パルプスの少女ふわり,福田裕子,,Na Ki Chual,小林浩輔,Choi Hun Cheol、Na Ki Chual,斉藤里枝、柴田健児,2015/6/20
episode/pripara_51,51,プリンス様と不幸せの青い鳥,中村能子,柊陽菜,Nam Sung Min,川村ひろし,Nam Sung Min、Jeon Byung Cheol,本多恵美、戸田さやか,2015/6/27
episode/pripara_52,52,ふわり舞う！初ライブトリ！,大場小ゆり,ワタナベシンイチ,Park Chi Man,篠原啓輔,Park Chi Man、Kim Jin Gu,斎藤理恵、柴田健児,2015/7/4
episode/pripara_53,53,み〜んなプリパラ禁止命令,ふでやすかずゆき,佐藤まさふみ,An Jai Ho,小林浩輔,Nam Sung Min、An Jai Ho,本多恵美、戸田さやか、前田綾,2015/7/11
episode/pripara_54,54,あくまのミュージアムクマ！,江夏由結,菱田正和、今中菜々,Choi Hun Cheol,菱田正和、今中菜々,Choi Hun Cheol、Na Ki Chual,斉藤里枝、柴田健児、前田綾,2015/7/18
episode/pripara_55,55,プリンスとヤギとデートと私,土屋理敬,藤本義孝,Jeon Byung Cheol,小林浩輔,Jeon Byung Cheol、Nam Sung Min,本多恵美、戸田さやか、諏訪壮大,2015/7/25
episode/pripara_56,56,走れ！サマドリグランプリ！,土屋理敬,森脇真琴,Park Chi Man,黒瀬大輔,Park Chi Man、Kim Jin Gu,斉藤里枝、柴田健児,2015/8/1
episode/pripara_57,57,ジーニアスって何パンダ？,中村能子,山本三輪子,An Jai Ho,小林浩輔,Nam Sung Min、An Jai Ho,本多恵美、戸田さやか、前田綾,2015/8/8
episode/pripara_58,58,かえってきたファルルでちゅ,福田裕子,ワタナベシンイチ,Na Ki Chual,川村ひろし,Na Ki Chual、Choi Hun Cheol,斉藤里枝、柴田健児,2015/8/15
episode/pripara_59,59,はれときどきガァルル,金杉弘子,佐藤まさふみ、麦野アイス,Jeon Byung Cheol,小林浩輔,Jeon Byung Cheol、Nam Sung Min,本多恵美、戸田さやか,2015/8/22
episode/pripara_60,60,夏だ！プールでラブMAX！,ふでやすかずゆき,政木伸一,Park Chi Man,伊藤史夫,Park Chi Man、Kim Jin Gu,柴田健児、川島尚,2015/8/29
episode/pripara_61,61,クールスキャンダル☆恐縮です,大場小ゆり,佐藤まさふみ,An Jai Ho,小林浩輔,Nam Sung Min、An Jai Ho,本多恵美、戸田さやか、諏訪壮大,2015/9/5
episode/pripara_62,62,シオンVSひびき,江夏由結,柊陽菜,Choi Hun Cheol,小林浩輔,Choi Hun Cheol、Na Ki Chual,斉藤里枝、柴田健児、本多恵美,2015/9/12
episode/pripara_63,63,トモチケは世界を救う,福田裕子,菱田正和,Jeon Byung Cheol,今中菜々、菱田正和,Jeon Byung 、 Sung Min,本多恵美、柴田健児,2015/9/19
episode/pripara_64,64,ハムとあじみ,ふでやすかずゆき,こでらかつゆき,Park Chi Man,小林浩輔,Park Chi Man、Kim Jin Gu,斉藤里枝、柴田健児,2015/9/26
episode/pripara_65,65,ダ・ヴィンチ・コーデ,金杉弘子,坂田純一,An Jai Ho,橋口洋介,An Jai Ho、Nam Sung Min,本多恵美、戸田さやか、前田綾、加藤照代、柴田健児,2015/10/5
episode/pripara_66,66,秋のテラコズミックグランプリ！,中村能子,政木伸一,Na Ki Chual,小林浩輔,Na Ki Chual、Choi Hun Cheol,斉藤里枝、柴田健児,2015/10/12
episode/pripara_67,67,めがジーニアスって何パンダ？,土屋理敬,麦野アイス,Jeon Byung Cheol,黒瀬大輔,Jeon Byung Cheol、Nam Sung Min,前田綾、加藤照代、川島尚、前田亜紀,2015/10/19
episode/pripara_68,68,ほら〜！ハッピーハロウィンにゃ,大場小ゆり,こでらかつゆき,Park Chi Man,小林浩輔,Park Chi Man、Kim Jin Gu,本多恵美、柴田健児,2015/10/26
episode/pripara_69,69,あぶないプリパラポリス最前線にほえろ,ふでやすかずゆき,渡辺健一郎,An Jai Ho,渡辺健一郎,An Jai Ho、Nam Sung Min,斉藤里枝、戸田さやか,2015/11/2
episode/pripara_70,70,プリンセス・ファルル,江夏由結,佐藤まさふみ,Choi Hun Cheol,小林浩輔,Choi Hun Cheol、Na Ki Chual,本多恵美、柴田健児、川島尚,2015/11/9
episode/pripara_71,71,誕生日の約束、かしこまっ！,金杉弘子,柊陽菜,Jeon Byung Cheol,榎本守,Jeon Byung Cheol、Nam Sung Min,斉藤里枝、前田綾,2015/11/16
episode/pripara_72,72,かしこまミステリー 、プリパラ連続ダ・ヴィンチ事件,福田裕子,坂田純一,Park Chi Man,小林浩輔,Park Chi Man、Kim Jin Gu,柴田健児、前田綾、本多恵美,2015/11/23
episode/pripara_73,73,彼女がデビューする日,中村能子,森脇真琴,An Jai Ho,黒瀬大輔,An Jai Ho、Nam Sung Min,斉藤里枝、本多恵美,2015/11/30
episode/pripara_74,74,紫京院ひびきの華麗なる日常,土屋理敬,誌村宏明,Na Ki Chual,小林浩輔,Na Ki Chual、Choi Hun Cheol,本多恵美、斉藤里枝,2015/12/7
episode/pripara_75,75,イゴーイング・マイウェイ,江夏由結,こでらかつゆき,Jeon Byung Cheol,野木森達哉,Jeon Byung Cheol、Nam Sung Min,柴田健児、川島尚,2015/12/14
episode/pripara_76,76,ハッピーバイバイXマスなの,大場小ゆり,柊陽菜,Park Chi Man,小林浩輔,Park Chi Man、Kim Jin Gu,斉藤里枝、本多恵美,2015/12/21
episode/pripara_77,77,対決！ウィンターグランプリ,福田裕子,みさわしん,An Jai Ho,黒瀬大輔,An Jai Ho、Nam Sung Min,本多恵美、斉藤里枝,2016/1/4
episode/pripara_78,78,レッツ・ゴー！セレパラ!!,金杉弘子,坂田純一,Na Ki Chual,小林浩輔,Na Ki Chual、Choi Hun Cheol,斉藤里枝、本多恵美,2016/1/11
episode/pripara_79,79,アイドル終了ぷり,土屋理敬,政木伸一,Jeon Byung Cheol,小林浩輔,Jeon Byung Cheol、Nam Sung Min,本多恵美、斉藤里枝,2016/1/18
episode/pripara_80,80,ポップ・ステップ・ガァルル,大場小ゆり,みさわしん,Park Chi Man,小林浩輔,Park Chi Man、Kim Jin Gu,-,2016/1/25
episode/pripara_81,81,地下アイドル始めました,江夏由結,渡辺健一郎,An Jai Ho,渡辺健一郎,An Jai Ho、Nam Sung Min,斉藤里枝、本多恵美,2016/2/1
episode/pripara_82,82,ガァルマゲドンのデビタインデー,ふでやすかずゆき,柊陽菜,Choi Hun Cheol,小林浩輔,Choi Hun Cheol、Na Ki Chual,-,2016/2/8
episode/pripara_83,83,ペルサイユのくるくるちゃんダヴィンチ！,金杉弘子,稲垣隆行,Jeon Byung Cheol,野木森達哉,Jeon Byung Cheol、Nam Sung Min,本多恵美、斉藤里枝、川島尚、前田綾,2016/2/15
episode/pripara_84,84,ポップ・ステップ・ぷりぷりぷり！,福田裕子,坂田純一,Park Chi Man,小林浩輔,Park Chi Man、Kim Jin Gu,斉藤里枝、本多恵美,2016/2/22
episode/pripara_85,85,逆襲のセレブリティ4,大場小ゆり,柊陽菜,An Jai Ho,黒瀬大輔,An Jai Ho、Nam Sung Min,本多恵美、斉藤里枝、川島尚,2016/2/29
episode/pripara_86,86,つかめ、春のグランプリ！,江夏由結,菱田正和,Choi Hun Cheol,小林浩輔,Choi Hun Cheol、Na Ki Chual,斉藤里枝、本多恵美、川島尚,2016/3/7
episode/pripara_87,87,語尾の果て,ふでやすかすゆき,渡辺健一郎,Jeon Byung Cheol,渡辺健一郎,Jeon Byung Cheol、Nam Sung Min,本多恵美、斉藤里枝,2016/3/14
episode/pripara_88,88,キセキの鐘をならせ！,大島のぞむ,坂田純一,Na Ki Chual,小林浩輔、今中菜々,Na Ki Chual、Choi Hun Cheol,斉藤里枝、本多恵美,2016/3/21
episode/pripara_89,89,み〜んなトモダチ！み〜んなアイドル！,金杉弘子,山本三輪子、金崎貴臣,An Jai Ho,小林浩輔,An Jai Ho、Nam Sung Min,本多恵美、斉藤里枝,2016/3/28
episode/pripara_90,90,神アイドル始めちゃいました!?,土屋理敬,誌村宏明,Choi Hun Cheol、Na Ki Chual,小林浩輔,Choi Hun Cheol,斉藤里枝、本多恵美,2016/4/5
episode/pripara_91,91,ママアイドル始めちゃいました!?,土屋理敬,稲垣隆行,Jeon Byung Cheol、Nam Sung Min,黒瀬大輔,Jeon Byung Cheol,本多恵美、斉藤里枝、袖山麻美,2016/4/12
episode/pripara_92,92,ちょう絶クール蝶（バタフライ）,ふでやすかずゆき,柊陽菜,Park Chi Man、Nam Sung Min,今中菜々、小林浩輔,Park Chi Man,本多恵美、斉藤里枝、柚山麻美、川島尚,2016/4/19
episode/pripara_93,93,ジュルルの大冒険,大場小ゆり,金崎貴臣、山本三輪子,Jeon Byung Cheol、Nam Sung Min,野木森達哉,Jeon Byung Cheol,本多恵美、斉藤里枝、川島尚,2016/4/26
episode/pripara_94,94,カモンカモン・かのん！,江夏由結,坂田純一,Choi Hun Cheol、Na Ki Chual,小林浩輔,Choi Hun Cheol,本多恵美、斉藤里枝、柚山麻美、川島尚,2016/5/3
episode/pripara_95,95,かんぺきママみれぃ！,福田裕子,渡辺健一郎,Park Chi Man、Nam Sung Min,渡辺健一郎,Park Chi Man,斉藤里枝、本多恵美、川島尚、柚山麻美,2016/5/10
episode/pripara_96,96,アロマットカードでモーたいへん！,中村能子,柊陽菜,Jeon Byung Cheol、Nam Sung Min,小林浩輔,Jeon Byung Cheol,本多恵美、斉藤里枝、川島尚、柚山麻美,2016/5/17
episode/pripara_97,97,スーパーミラクルうめぇピーチ,金杉弘子,佐藤まさふみ,An Jai Ho、Nam Sung Min,黒瀬大輔,Nam Sung Min,斉藤里枝、本多恵美、川島尚、柚山麻美,2016/5/24
episode/pripara_98,98,ひとり三役は大変なのん！,ふでやすかずゆき,誌村宏明,Choi Hun Cheol、Na Ki Chual,小林浩輔,Na Ki Chual,本多恵美、斉藤里枝、川島尚、柚山麻美,2016/5/31
episode/pripara_99,99,青春ジャンピンスナッピン！,大場小ゆり,米田光宏,Jeon Byung Cheol、Nam Sung Min,今中菜々、野木森達哉,Jeon Byung Cheol,斉藤里枝、本多恵美、川島尚、柚山麻美,2016/6/7
episode/pripara_100,100,テンション100MAXだよ！,中村能子,柊陽菜,Park Chi Man、Nam Sung Min,小林浩輔,Park Chi Man,本多恵美、斉藤里枝、川島尚、柚山麻美,2016/6/14
episode/pripara_101,101,キタ！神アイドルグランプリ！,江夏由結,山本三輪子、金崎貴臣,Nam Sung Min、An Jai Ho,小林浩輔,Nam Sung Min,本多恵美、斉藤里枝、川島尚、柚山麻美,2016/6/21
episode/pripara_102,102,変幻自在！ジュエルチェンジぽよ♡,福田裕子,京極尚彦,Choi Hun Cheol、Na Ki Chual,京極尚彦,Na Ki Chual,本多恵美、斉藤里枝、川島尚,2016/6/28
episode/pripara_103,103,落第アイドル始めちゃいました(T T),金杉弘子,池端隆史,Jeon Byung Cheol、Nam Sung Min,佐藤まさふみ,Jeon Byung Cheol,斉藤里枝、本多恵美、川島尚,2016/7/5
episode/pripara_104,104,LOVE！デビル色！魔力があればなんでもデビル！,ふでやすかずゆき,渡辺健一郎,Park Chi Man、Nam Sung Min,渡辺健一郎,Park Chi Man,本多恵美、斉藤里枝、川島尚,2016/7/12
episode/pripara_105,105,ガァルル、目覚めるでちゅーっ!!,大場小ゆり,江島泰男,Nam Sung Min、An Jai Ho,小林浩輔,Nam Sung Min,斉藤里枝、本多恵美、川島尚,2016/7/19
episode/pripara_106,106,神アイドルグランプリ終了です,土屋理敬,柊陽菜,Choi Hun Cheol、Na Ki Chual,伊藤史夫,Na Ki Chual,本多恵美、斉藤里枝、川島尚,2016/7/26
episode/pripara_107,107,緊急会議！びんわんマネージャーだクマ！,佐藤まさふみ,,Jeon Byung Cheol、Nam Sung Min,小林浩輔,Jeon Byung Cheol,斉藤里枝、本多恵美、川島尚,2016/8/2
episode/pripara_108,108,帰ってきたプリパリ,中村能子,葛谷直行,Park Chi Man、Nam Sung Min,小林浩輔,Park Chi Man,斉藤里枝、川島尚,2016/8/9
episode/pripara_109,109,サパンナからSOS,金杉弘子,山本三輪子、金崎貴臣,Nam Sung Min、An Jai Ho,小林浩輔,Nam Sung Min,本多恵美、川島尚,2016/8/16
episode/pripara_110,110,水泳大会ぷり！イゴ！,福田裕子,柊陽菜,Choi Hun Cheol、Na Ki Chual,室谷靖,Choi Hun Cheol,斉藤里枝、本多恵美、川島尚,2016/8/23
episode/pripara_111,111,子連れ怪盗まほちゃん,土屋理敬,池端隆史,Jeon Byung Cheol、Nam Sung Min,小林浩輔,Jeon Byung Cheol,本多恵美、斉藤里枝、川島尚、戸田さやか,2016/8/30
episode/pripara_112,112,恋恋ジュルル,ふでやすかずゆき,江島泰男,Park Chi Man、Nam Sung Min,江島泰男,Park Chi Man,斉藤里枝、本多恵美、川島尚、戸田さやか,2016/9/6
episode/pripara_113,113,ちりちりちりちゃん!,大場小ゆり,藤澤俊幸,Nam Sung Min、An Jai Ho,小林浩輔,Nam Sung Min,本多恵美、斉藤里枝、川島尚、戸田さやか,2016/9/13
episode/pripara_114,114,急げ！神アイドルグランプリ！,中村能子,柊陽菜,Choi Hun Cheol、Na Ki Chual,小林浩輔,Choi Hun Cheol,斉藤里枝、本多恵美、川島尚、戸田さやか,2016/9/20
episode/pripara_115,115,ひびけ！神アイドルグランプリ！,福田裕子,今中菜々,Jeon Byung Cheol、Nam Sung Min,室谷靖,Jeon Byung Cheol,本多恵美、斉藤里枝、川島尚,2016/9/27
episode/pripara_116,116,消えたマネージャー！謎のサパンナ少女,金杉弘子,山本三輪子、金崎貴臣,Park Chi Man、Nam Sung Min,伊藤史夫,Park Chi Man,斉藤里枝、本多恵美、川島尚、加藤照代、榎本花子、小松達彦,2016/10/4
episode/pripara_117,117,女神、アイドル始めちゃいました,土屋理敬,政木伸一,Nam Sung Min、An Jai Ho,小林浩輔,Nam Sung Min,本多恵美、斉藤里枝、川島尚、戸田さやか,2016/10/11
episode/pripara_118,118,姉と妹と姫と野獣,福田裕子,葛谷直行,Choi Hun Cheol、Na Ki Chual,江島泰男,Choi Hun Cheol,斉藤里枝、本多恵美、川島尚、戸田さやか,2016/10/18
episode/pripara_119,119,ほら〜！ハロマゲドンにゃ,江夏由結,渡辺健一郎,Jeon Byung Cheol、Nam Sung Min,渡辺健一郎,Jeon Byung Cheol,本多恵美、斉藤里枝、川島尚,2016/10/25
episode/pripara_120,120,甘くはいかないノンシュガー,中村能子,誌村宏明,Park Chi Man、Nam Sung Min,小林浩輔,Park Chi Man,斉藤里枝、本多恵美、川島尚、戸田さやか,2016/11/1
episode/pripara_121,121,めざめよ！女神のドレスデザイン,大場小ゆり,柊陽菜,Nam Sung Min、An Jai Ho,室谷靖,Nam Sung Min,本多恵美、斉藤里枝、川島尚,2016/11/8
episode/pripara_122,122,姉妹でかしこまっ！,金杉弘子,藤澤俊幸,Choi Hun Cheol、Na Ki Chual,小林浩輔,Choi Hun Cheol,斉藤里枝、本多恵美、川島尚、戸田さやか,2016/11/15
episode/pripara_123,123,ノンシュガー漂流記,福田裕子,葛谷直行,Jeon Byung Cheol、Nam Sung Min,江島泰男,Jeon Byung Cheol,本多恵美、斉藤里枝、川島尚、戸田さやか,2016/11/22
episode/pripara_124,124,ジュリィとジャニス,土屋理敬,政木伸一,Park Chi Man、Nam Sung Min,小林浩輔,Park Chi Man,斉藤里枝、本多恵美、川島尚、戸田さやか、小松達彦,2016/11/29
episode/pripara_125,125,レッツ・ライブ！主役はもちろん君さ！,大場小ゆり,柊陽菜,Nam Sung Min、An Jai Ho,江島泰男,Nam Sung Min,本多恵美、斉藤里枝、川島尚,2016/12/6
episode/pripara_126,126,メリー・グランプリ！,江夏由結,池端隆史,Choi Hun Cheol、Na Ki Chual,小林浩輔,Na Ki Chual,斉藤里枝、本多恵美、川島尚、戸田さやか,2016/12/13
episode/pripara_127,127,グランプリは甘くないウチャ,中村能子,藤澤俊幸,Jeon Byung Cheol、Nam Sung Min,小林浩輔,Jeon Byung Cheol,本多恵美、斉藤里枝、川島尚、戸田さやか,2016/12/20
episode/pripara_128,128,さよならウサチャ…。,金杉弘子,柊陽菜,Park Chi Man、Nam Sung Min,江島泰男,Park Chi Man,斉藤里枝、本多恵美、川島尚,2016/12/27
episode/pripara_129,129,み〜んなにチャンス！？リベンジライブ！,大場小ゆり,渡辺健一郎,Nam Sung Min、An Jai Ho,渡辺健一郎,Nam Sung Min,本多恵美、斉藤里枝、川島尚,2017/1/10
episode/pripara_130,130,女神の想い、ママの誓い,福田裕子,山本三輪子、森脇真琴,Choi Hun Cheol、Na Ki Chual,小林浩輔,Na Ki Chual,斉藤里枝、本多恵美、川島尚、戸田さやか,2017/1/17
episode/pripara_131,131,天国と地獄？決戦前夜！,金杉弘子,岡田水樹,Jeon Byung Cheol、Nam Sung Min,川村ひろし,Jeon Byung Cheol,本多恵美、斉藤里枝、川島尚,2017/1/24
episode/pripara_132,132,ロッキン・ガァジラ大決戦,中村能子,柊陽菜,Park Chi Man、Nam Sung Min,小林浩輔,Park Chi Man,戸田さやか,2017/1/31
episode/pripara_133,133,語尾の彼方,大場小ゆり,藤澤俊幸,Nam Sung Min、An Jai Ho,江島泰男,Nam Sung Min,斉藤里枝、川島尚,2017/2/7
