item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,series_name,collection_term
J1-30,R,ミントハートのシャボンだまセット,パシャっとアイテム,71047,緑,ガールズエール,ポップ,500,,みらいコレクション,4月4日（木）～5月22日（水）
J1-31,R,ピクニックギンガムグリーンケープワンピ,ワンピース,71077,緑,ドーリーワルツ,ラブリー,1000,J1-10,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-32,R,ピクニックギンガムグリーンシューズ,シューズ,71078,緑,ドーリーワルツ,ラブリー,500,J1-10,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-33,R,ピクニックギンガムグリーンヘアアクセ,ヘアアクセ,71079,白,ドーリーワルツ,ラブリー,500,J1-10,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-34,R,きまぐれカウガールトップス,トップス,71080,白,ロマンスビート,クール,550,J1-11,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-35,R,きまぐれカウガールパンツ,ボトムス,71081,緑,ロマンスビート,クール,600,J1-11,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-36,R,きまぐれカウガールシューズ,シューズ,71082,茶,ロマンスビート,クール,500,J1-11,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-37,R,きまぐれカウガールヘアアクセ,ヘアアクセ,71083,茶,ロマンスビート,クール,500,J1-11,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-38,R,キラキラフィーバーレッドトップス,トップス,71084,赤,ユニバースクイーン,クール,500,J1-12,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-39,R,キラキラフィーバーレッドスカート,ボトムス,71085,赤,ユニバースクイーン,クール,550,J1-12,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-40,R,キラキラフィーバーレッドシューズ,シューズ,71086,黒,ユニバースクイーン,クール,600,J1-12,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-41,R,キラキラフィーバーレッドヘアアクセ,ヘアアクセ,71087,黒,ユニバースクイーン,クール,500,J1-12,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-42,N,ガールズマーチトップス,トップス,71069,赤,ガールズエール,ポップ,450,J1-13,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-43,N,ガールズマーチスカート,ボトムス,71070,青,ガールズエール,ポップ,400,J1-13,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-44,N,ガールズマーチシューズ,シューズ,71071,白,ガールズエール,ポップ,350,J1-13,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-45,N,ガールズマーチヘアアクセ,ヘアアクセ,71072,水色,ガールズエール,ポップ,350,J1-13,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-46,N,ハート＆レースブルートップス,トップス,71036,青,ドーリーワルツ,ラブリー,350,J1-14,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-47,N,ハート＆レースブルースカート,ボトムス,71037,青,ドーリーワルツ,ラブリー,450,J1-14,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-48,N,ハート＆レースブルーシューズ,シューズ,71038,青,ドーリーワルツ,ラブリー,400,J1-14,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-49,N,ハート＆レースブルーヘアアクセ,ヘアアクセ,71039,赤,ドーリーワルツ,ラブリー,350,J1-14,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-50,N,ポリスガールトップス,トップス,71040,黒,ロマンスビート,クール,400,J1-15,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-51,N,ポリスガールパンツ,ボトムス,71041,黒,ロマンスビート,クール,350,J1-15,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-52,N,ポリスガールシューズ,シューズ,71042,黒,ロマンスビート,クール,450,J1-15,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-53,N,ポリスガールヘアアクセ,ヘアアクセ,71043,黒,ロマンスビート,クール,350,J1-15,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
J1-54,SR,ファントミハートココミワンピ,ワンピース,71049,ピンク,ブランドなし,プレミアム,1300,J1-16,みらいコレクション ファントミラージュ！チャンネル,4月4日（木）～5月22日（水）
J1-55,SR,ファントミハートココミシューズ,シューズ,71050,白,ブランドなし,プレミアム,650,J1-16,みらいコレクション ファントミラージュ！チャンネル,4月4日（木）～5月22日（水）
J1-56,SR,ファントミハートココミヘアアクセ,ヘアアクセ,71051,黒,ブランドなし,プレミアム,650,J1-16,みらいコレクション ファントミラージュ！チャンネル,4月4日（木）～5月22日（水）
J1-57,SR,イースターピンクうさぎトップス,トップス,71092,水色,キューティーハピネス,ラブリー,750,J1-25,イースターコーデチャンネル,4月18日（木）～5月6日（月・祝）
J1-58,SR,イースターピンクうさぎスカート,ボトムス,71093,水色,キューティーハピネス,ラブリー,700,J1-25,イースターコーデチャンネル,4月18日（木）～5月6日（月・祝）
J1-59,SR,イースターピンクうさぎシューズ,シューズ,71094,黄,キューティーハピネス,ラブリー,650,J1-25,イースターコーデチャンネル,4月18日（木）～5月6日（月・祝）
J1-60,SR,イースターピンクうさぎヘアアクセ,ヘアアクセ,71095,ピンク,キューティーハピネス,ラブリー,650,J1-25,イースターコーデチャンネル,4月18日（木）～5月6日（月・祝）
J1-61,SR,イースターグレーうさぎトップス,トップス,71096,ピンク,キューティーハピネス,ラブリー,750,J1-26,イースターコーデチャンネル,4月18日（木）～5月6日（月・祝）
J1-62,SR,イースターグレーうさぎスカート,ボトムス,71097,ピンク,キューティーハピネス,ラブリー,700,J1-26,イースターコーデチャンネル,4月18日（木）～5月6日（月・祝）
J1-63,SR,イースターグレーうさぎシューズ,シューズ,71098,ピンク,キューティーハピネス,ラブリー,650,J1-26,イースターコーデチャンネル,4月18日（木）～5月6日（月・祝）
J1-64,SR,イースターグレーうさぎヘアアクセ,ヘアアクセ,71099,シルバー,キューティーハピネス,ラブリー,650,J1-26,イースターコーデチャンネル,4月18日（木）～5月6日（月・祝）
J1-65,HR,しらゆきひめクラシックワンピ,ワンピース,71052,黒,スイートハニー,ラブリー,2000,J1-17,まりあコレクション,4月25日（木）～6月19日（水）
J1-66,HR,しらゆきひめクラシックシューズ,シューズ,71053,黒,スイートハニー,ラブリー,950,J1-17,まりあコレクション,4月25日（木）～6月19日（水）
J1-67,HR,しらゆきひめクラシックヘアアクセ,ヘアアクセ,71054,黒,スイートハニー,ラブリー,950,J1-17,まりあコレクション,4月25日（木）～6月19日（水）
J1-68,PR,ミラクルアイドルポップトップス,トップス,71055,水色,ガールズエール,ポップ,800,J1-18,まりあコレクション,4月25日（木）～6月19日（水）
J1-69,PR,ミラクルアイドルポップパンツ,ボトムス,71056,水色,ガールズエール,ポップ,900,J1-18,まりあコレクション,4月25日（木）～6月19日（水）
J1-70,PR,ミラクルアイドルポップシューズ,シューズ,71057,水色,ガールズエール,ポップ,850,J1-18,まりあコレクション,4月25日（木）～6月19日（水）
J1-71,PR,ミラクルアイドルポップヘアアクセ,ヘアアクセ,71058,水色,ガールズエール,ポップ,800,J1-18,まりあコレクション,4月25日（木）～6月19日（水）
J1-72,PR,はあと♡パールおれんじワンピ,ワンピース,71059,オレンジ,キューティーハピネス,ラブリー,1600,J1-19,まりあコレクション,4月25日（木）～6月19日（水）
J1-73,PR,はあと♡パールおれんじシューズ,シューズ,71060,オレンジ,キューティーハピネス,ラブリー,800,J1-19,まりあコレクション,4月25日（木）～6月19日（水）
J1-74,PR,はあと♡パールおれんじヘアアクセ,ヘアアクセ,71061,オレンジ,キューティーハピネス,ラブリー,800,J1-19,まりあコレクション,4月25日（木）～6月19日（水）
J1-75,SR,さくらひめすみれトップス,トップス,71088,紫,スイートハニー,ラブリー,700,J1-20,まりあコレクション,4月25日（木）～6月19日（水）
J1-76,SR,さくらひめすみれスカート,ボトムス,71089,紫,スイートハニー,ラブリー,750,J1-20,まりあコレクション,4月25日（木）～6月19日（水）
J1-77,SR,さくらひめすみれシューズ,シューズ,71090,紫,スイートハニー,ラブリー,650,J1-20,まりあコレクション,4月25日（木）～6月19日（水）
J1-78,SR,さくらひめすみれヘアアクセ,ヘアアクセ,71091,紫,スイートハニー,ラブリー,650,J1-20,まりあコレクション,4月25日（木）～6月19日（水）
J1-79,SR,おきにいりカメラ,パシャっとアイテム,71068,黒,キューティーハピネス,ラブリー,650,,まりあコレクション,4月25日（木）～6月19日（水）
J1-80,R,クラブストライプトップス,トップス,71073,緑,シークレットアリス,クール,600,J1-21,まりあコレクション,4月25日（木）～6月19日（水）
J1-81,R,クラブストライプスカート,ボトムス,71074,緑,シークレットアリス,クール,550,J1-21,まりあコレクション,4月25日（木）～6月19日（水）
J1-82,R,クラブストライプシューズ,シューズ,71075,白,シークレットアリス,クール,500,J1-21,まりあコレクション,4月25日（木）～6月19日（水）
J1-83,R,クラブストライプヘアアクセ,ヘアアクセ,71076,緑,シークレットアリス,クール,500,J1-21,まりあコレクション,4月25日（木）～6月19日（水）
J1-84,R,ゆるふわラブリーアクアワンピ,ワンピース,71044,水色,キューティーハピネス,ラブリー,1000,J1-22,まりあコレクション,4月25日（木）～6月19日（水）
J1-85,R,ゆるふわラブリーパンプス,シューズ,71045,水色,キューティーハピネス,ラブリー,500,J1-22,まりあコレクション,4月25日（木）～6月19日（水）
J1-86,R,ゆるふわラブリーカチューシャ,ヘアアクセ,71046,水色,キューティーハピネス,ラブリー,500,J1-22,まりあコレクション,4月25日（木）～6月19日（水）
J1-87,R,まっかなりんご,パシャっとアイテム,71048,赤,シークレットアリス,クール,500,,まりあコレクション,4月25日（木）～6月19日（水）
J1-88,SR,RONIチェリーギンガムトップス,トップス,71062,赤,ロニィ,ラブリー,750,J1-23,まりあコレクション期間限定追加,4月25日（木）～5月22日（水）
J1-89,SR,RONIチェリーギンガムスカート,ボトムス,71063,赤,ロニィ,ラブリー,700,J1-23,まりあコレクション期間限定追加,4月25日（木）～5月22日（水）
J1-90,SR,RONIチェリーギンガムシューズ,シューズ,71064,赤,ロニィ,ラブリー,650,J1-23,まりあコレクション期間限定追加,4月25日（木）～5月22日（水）
J1-91,SR,RONIチェリーギンガムヘアアクセ,ヘアアクセ,71065,赤,ロニィ,ラブリー,650,J1-23,まりあコレクション期間限定追加,4月25日（木）～5月22日（水）
J1-92,SR,BANANA CHIPSベリーワンピ,ワンピース,71066,黄,バナナチップス,クール,1300,J1-24,まりあコレクション期間限定追加,4月25日（木）～5月22日（水）
J1-93,SR,BANANA CHIPSリボンシューズ,シューズ,71067,黒,バナナチップス,クール,650,J1-24,まりあコレクション期間限定追加,4月25日（木）～5月22日（水）
J1-94,SR,クローバーファンタジーグリーントップス,トップス,71103,緑,キューティーハピネス,ラブリー,750,J1-27,まりあのクローバーファンタジーチャンネル,4月27日（土）～5月22日(水)
J1-95,SR,クローバーファンタジーグリーンスカート,ボトムス,71104,緑,キューティーハピネス,ラブリー,700,J1-27,まりあのクローバーファンタジーチャンネル,4月27日（土）～5月22日(水)
J1-96,SR,クローバーファンタジーグリーンシューズ,シューズ,71105,白,キューティーハピネス,ラブリー,650,J1-27,まりあのクローバーファンタジーチャンネル,4月27日（土）～5月22日(水)
J1-97,SR,クローバーファンタジーグリーンヘアアクセ,ヘアアクセ,71106,緑,キューティーハピネス,ラブリー,650,J1-27,まりあのクローバーファンタジーチャンネル,4月27日（土）～5月22日(水)
J1-98,SR,おきにいりカメラオフホワイト,パシャっとアイテム,71111,白,キューティーハピネス,ラブリー,650,,フォロトモポイント,
JR1-01,JR,ときめきのピンクジュエルドレス,ワンピース,65000,ピンク,スイートハニー,ラブリー,1500,J1-01,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-02,JR,ときめきのピンクジュエルシューズ,シューズ,65001,ピンク,スイートハニー,ラブリー,750,J1-01,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-03,JR,ときめきのピンクジュエルヘアアクセ,ヘアアクセ,65002,ピンク,スイートハニー,ラブリー,750,J1-01,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-04,JR,ときめきのイエロージュエルドレス,ワンピース,,黄,スイートハニー,ラブリー,1500,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-05,JR,ときめきのイエロージュエルシューズ,シューズ,,黄,スイートハニー,ラブリー,750,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-06,JR,ときめきのイエロージュエルヘアアクセ,ヘアアクセ,,黄,スイートハニー,ラブリー,750,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-07,JR,ときめきのブルージュエルドレス,ワンピース,,青,スイートハニー,ラブリー,1500,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-08,JR,ときめきのブルージュエルシューズ,シューズ,,青,スイートハニー,ラブリー,750,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-09,JR,ときめきのブルージュエルヘアアクセ,ヘアアクセ,,青,スイートハニー,ラブリー,750,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-10,JR,ときめきのゴールドジュエルドレス,ワンピース,,ゴールド,スイートハニー,ラブリー,1500,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-11,JR,ときめきのゴールドジュエルシューズ,シューズ,,ゴールド,スイートハニー,ラブリー,750,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-12,JR,ときめきのゴールドジュエルヘアアクセ,ヘアアクセ,,ゴールド,スイートハニー,ラブリー,750,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-13,JR,ときめきのブラックジュエルドレス,ワンピース,,黒,スイートハニー,ラブリー,1500,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-14,JR,ときめきのブラックジュエルシューズ,シューズ,,黒,スイートハニー,ラブリー,750,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-15,JR,ときめきのブラックジュエルヘアアクセ,ヘアアクセ,,黒,スイートハニー,ラブリー,750,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-16,JR,ときめきのレッドジュエルドレス,ワンピース,,赤,スイートハニー,ラブリー,1500,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-17,JR,ときめきのレッドジュエルシューズ,シューズ,,赤,スイートハニー,ラブリー,750,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-18,JR,ときめきのレッドジュエルヘアアクセ,ヘアアクセ,,赤,スイートハニー,ラブリー,750,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-19,JR,ときめきのグリーンジュエルドレス,ワンピース,,緑,スイートハニー,ラブリー,1500,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-20,JR,ときめきのグリーンジュエルシューズ,シューズ,,緑,スイートハニー,ラブリー,750,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-21,JR,ときめきのグリーンジュエルヘアアクセ,ヘアアクセ,,緑,スイートハニー,ラブリー,750,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-22,JR,ときめきのパープルジュエルドレス,ワンピース,,紫,スイートハニー,ラブリー,1500,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-23,JR,ときめきのパープルジュエルシューズ,シューズ,,紫,スイートハニー,ラブリー,750,,ジュエルコーデ,4月4日（木）～5月22日（水）
JR1-24,JR,ときめきのパープルジュエルヘアアクセ,ヘアアクセ,,紫,スイートハニー,ラブリー,750,,ジュエルコーデ,4月4日（木）～5月22日（水）
