key,name,name_kana
dear_my_future_miraino_jibunhe,Dear My Future　～未来の自分へ～,でぃあまいふゅーちゃー みらいのじぶんへ
ring_ring_garafaland,リンリン♪がぁらふぁらんど,りんりんがぁらふぁらんど
get_over_dress_code,Get Over Dress-code,げっとおーばーどれすこーど
just_be_yourself,Just be yourself,じゃすとびーゆあせるふ
idol_time,アイドル:タイム!!,あいどるたいむ
saijokyu_paradox,最上級ぱらどっくす,さいじょうきゅうぱらどっくす
heartful_dream,ハートフル♡ドリーム,はーとふるどりーむ
memorial,Memorial,めもりある
welcome_to_dream,WELCOME TO DREAM,うぇるかむとぅどりーむ
kiratto_start,キラッとスタート,きらっとすたーと
go_up_stardum,Go! Up! スターダム！,ごーあっぷすたーだむ
never_ending,never-ending!!,ねばーえんでぃんぐ
diamond_smile,ダイヤモンドスマイル,だいやもんどすまいる
kiralist_jewelist,キラリスト・ジュエリスト,きらりすとじゅえりすと
illuminage_land,イルミナージュ・ランド,いるみなーじゅらんど
pretty_channel,プリティー☆チャンネル,ぷりてぃーちゃんねる
kira_kira_holography,KIRA KIRA ホログラム,きらきらほろぐらむ
shining_flower,SHINING FLOWER,しゃいにんぐふらわー
janken_kiratto_prichan,じゃんけんキラッと！プリ☆チャン,じゃんけんきらっとぷりちゃん
brand_new_girls,Brand New Girls,ぶらんにゅーがーるず
abcd_iine_dance,A・B・C・D・いいね★ダンス,えーびーしーでぃーいいねだんす
ready_action,レディー・アクション！,れでぃーあくしょん
one_two_sweets,ワン・ツー・スウィーツ,わんつーすうぃーつ
suki_suki_sensor,スキスキセンサー,すきすきせんさー
play_sound,Play Sound☆,ぷれいさうんど
kirari_kakusei_reincarnation,キラリ覚醒☆リインカーネーション,きらりかくせいりいんかーねーしょん
super_cutie_super_girl,SUPER CUTIE SUPER GIRL,すーぱーきゅーてぃーすーぱーがーる
cometic_silhouette,COMETIC SILHOUETTE,こめてぃっくしるえっと
fortune_carat,フォーチュン・カラット,ふぉーちゅんからっと
oshama_tricks_no_uta,おしゃまトリックスの歌,おしゃまとりっくすのうた
otome_attention_please,乙女アテンションプリーズ,おとめあてんしょんぷりーず
netemo_sametemo_dreamin_girl,寝ても覚めてもDREAMIN' GIRL,ねてもさめてもどりーみんがーる
dream_goes_on,Dream Goes On,どりーむごーずおん
perfect_finale,パーフェクト・フィナーレ,ぱーふぇくとふぃなーれ
tokimeki_heart_jewel,TOKIMEKIハート・ジュエル♪,ときめきはーとじゅえる
emomeki_pikka-n,えもめきピッカーン,えもめきぴっかーん
yumeiro_energy,夢色エナジー,ゆめいろえなじー
rocket_heart,ロケットハート,ろけっとはーと
friend_password,フレンドパスワード,ふれんどぱすわーど
shiawasei_kawaii_sanka,シアワ星かわいい賛歌,しあわせいかわいいさんか
cutie_breakin,キューティ・ブレイキン,きゅーてぃぶれいきん
individual_jewel,インディビジュアル・ジュエル,いんでぃびじゅあるじゅえる
heroines_drama,ヒロインズドラマ,ひろいんずどらま
my_secret_heartbeats,My Secret heArtbeats,まいしーくれっとはーとびーつ
space_spice_spectacle,スペース！スパイス！スペクタクル！,すぺーすすぱいすすぺくたくる
la_la_meltic_star,La La Meltic StAr,ららめるてぃっくすたー
tsuyoki_twintails,ツヨキ!ツインテールズ,つよきついんてーるず
you_may_dream,You May Dream,ゆーめいどりーむ
eien_no_bigaku,1/1000永遠の美学,せんぶんのいちえいえんのびがく
memories_for_future,MEMORIES FOR FUTURE,めもりーずふぉーふゅーちゃー
miracle_coaster,ミラクルコースター,みらくるこーすたー
